CNPJ_FUNDO;CPF-PROPRIETARIO;FAT_ANUAL
08.484.114/0001-66;30740034;2267206
12.987.828/0001-64;30740045;1870971
31.007.967/0001-29;30740050;2951053
18.154.016/0001-14;30740107;546758
11.863.199/0001-06;30740113;2512073
31.353.358/0001-21;30740248;680913
04.289.025/0001-08;30740249;1999896
04.138.648/0001-80;30740305;1120891
03.068.246/0001-93;30740316;2766890
08.925.376/0001-19;30740336;1810159
08.668.886/0001-58;30740341;2701891
31.007.967/0001-29;30740365;972078
30.507.510/0001-10;30740454;1055990
23.884.644/0001-95;30740497;3458230
28.747.157/0001-02;30740533;2507282
02.811.738/0001-64;30740541;3267015
04.291.387/0001-33;30740566;1274355
16.703.334/0001-61;30740578;1693504
19.419.157/0001-84;30740601;1261054
09.298.401/0001-44;30740602;3488149
05.510.972/0001-40;30740607;885810
17.735.225/0001-99;30740623;3395600
08.399.530/0001-66;30740625;1236285
08.815.386/0001-00;30740639;2885874
05.448.587/0001-10;30740661;2860748
07.946.573/0001-51;30740706;1206896
13.066.197/0001-03;30740711;1891068
31.660.314/0001-44;30740767;1168801
10.565.878/0001-28;30740784;3050596
12.960.125/0001-42;30740800;2644058
10.787.738/0001-02;30740820;2269617
04.836.693/0001-08;30740857;772190
17.138.356/0001-99;30740897;749274
17.329.571/0001-77;30740920;920325
15.108.948/0001-32;30740990;2307557
13.402.186/0001-57;30741005;1930148
06.024.728/0001-30;30741020;817155
05.114.742/0001-61;30741028;535020
04.199.750/0001-95;30741065;1173599
26.089.666/0001-51;30741162;1748005
20.997.952/0001-39;30741241;908654
28.475.193/0001-56;30741300;1173438
97.525.454/0001-18;30741315;3399436
03.665.520/0001-01;30741391;1840055
12.766.541/0001-04;30741451;2955034
09.087.555/0001-97;30741486;2249263
11.286.420/0001-00;30741517;2137220
18.693.543/0001-05;30741649;1694516
07.286.935/0001-25;30741655;2266684
29.603.054/0001-23;30741698;1208449
07.549.789/0001-83;30741715;1362622
10.348.048/0001-49;30741722;2067688
20.468.380/0001-09;30741769;1827082
18.716.622/0001-86;30741776;2495113
11.874.889/0001-52;30741789;1829910
23.035.111/0001-39;30741809;3268698
26.570.670/0001-37;30741811;2447334
15.629.808/0001-00;30741815;1862627
10.246.463/0001-91;30741818;1922478
09.166.159/0001-55;30741826;611629
12.636.414/0001-90;30741832;3470568
30.493.863/0001-09;30741901;971579
30.887.116/0001-55;30741958;1726459
05.025.900/0001-07;30742089;1284678
28.726.474/0001-34;30742106;3405033
10.556.873/0001-39;30742128;2139665
02.294.029/0001-59;30742209;1750228
17.036.507/0001-06;30742230;2359847
22.652.096/0001-05;30742297;2697829
08.829.909/0001-69;30742328;653362
06.224.719/0001-92;30742332;628275
17.200.242/0001-21;30742404;1305134
08.799.681/0001-01;30742458;1170171
04.513.643/0001-90;30742467;2613599
04.068.824/0001-54;30742547;783538
08.823.805/0001-47;30742581;1033679
17.256.290/0001-31;30742602;2665166
11.083.288/0001-21;30742631;1724457
15.505.376/0001-25;30742657;1959874
30.069.316/0001-09;30742662;3116548
17.163.182/0001-14;30742759;1257616
11.301.118/0001-76;30742800;2826312
14.083.550/0001-26;30742803;2639358
00.826.911/0001-72;30742882;1368098
14.843.313/0001-16;30742949;3129435
07.541.281/0001-39;30742959;1711425
12.518.299/0001-50;30742991;3458073
22.791.074/0001-26;30743062;887085
11.361.548/0001-83;30743074;3034115
04.186.918/0001-28;30743108;1546126
32.811.956/0001-60;30743196;3263625
09.342.150/0001-58;30743206;815827
15.212.159/0001-47;30743297;1511015
04.810.763/0001-59;30743411;2704118
07.364.131/0001-05;30743426;1299484
02.218.838/0001-81;30743427;3135438
10.158.171/0001-05;30743481;1691298
12.124.044/0001-02;30743483;2613572
11.097.637/0001-64;30743494;2159503
22.632.238/0001-72;30743528;540663
04.617.911/0001-13;30743544;1880027
09.188.900/0001-89;30743662;1694279
08.510.334/0001-17;30743671;2931281
15.489.460/0001-00;30743844;734604
09.421.765/0001-70;30743850;1488947
24.413.725/0001-70;30743864;1766424
08.705.848/0001-28;30743868;2534209
29.106.504/0001-72;30743880;875378
10.563.094/0001-60;30743901;3126151
17.092.283/0001-41;30743978;3492107
11.960.950/0001-84;30744027;928709
04.421.180/0001-36;30744029;3439664
14.866.287/0001-41;30744055;1694602
12.483.978/0001-30;30744094;991970
68.312.818/0001-83;30744126;3491551
47.177.779/0001-89;30744128;2115280
09.162.973/0001-00;30744184;1873995
12.312.774/0001-37;30744197;1323984
06.077.520/0001-89;30744256;1324696
11.179.864/0001-39;30744293;527642
08.799.681/0001-01;30744301;3345603
09.502.541/0001-92;30744309;1859242
01.165.789/0001-01;30744359;614524
05.113.771/0001-09;30744418;1060384
17.517.302/0001-34;30744429;3477256
17.955.508/0001-46;30744489;2298540
18.956.790/0001-49;30744561;2647936
02.367.527/0001-84;30744563;772512
32.312.064/0001-14;30744592;1168191
17.517.351/0001-77;30744620;1678633
09.564.377/0001-48;30744632;3319222
12.066.336/0001-36;30744687;1582211
00.370.675/0001-22;30744698;2545604
13.483.558/0001-17;30744724;2859868
04.517.020/0001-95;30744729;2386381
09.355.063/0001-35;30744731;3034985
02.296.928/0001-90;30744751;3085417
23.732.296/0001-30;30744763;1918386
09.611.938/0001-12;30744791;1996066
07.882.899/0001-62;30744795;3482086
23.035.111/0001-39;30744951;1859320
09.185.921/0001-40;30744986;3272941
03.218.354/0001-03;30744990;3065951
09.087.579/0001-46;30745011;775896
02.935.172/0001-82;30745087;2108125
26.725.188/0001-29;30745094;2927766
26.123.799/0001-05;30745130;1303900
01.912.197/0001-06;30745290;1469968
09.577.051/0001-55;30745295;730174
28.077.909/0001-67;30745364;2225614
09.327.417/0001-38;30745381;1224787
12.951.569/0001-11;30745382;3483291
07.082.784/0001-93;30745397;1319629
32.240.428/0001-06;30745446;3323391
17.517.351/0001-77;30745475;853647
08.917.532/0001-08;30745479;2244519
08.154.739/0001-60;30745545;1714393
31.007.993/0001-57;30745569;3238034
18.000.255/0001-10;30745612;1094055
15.796.357/0001-03;30745653;1120551
22.642.632/0001-91;30745691;3316214
05.628.772/0001-96;30745735;621484
30.057.872/0001-57;30745753;3046595
18.611.818/0001-06;30745807;2346453
08.834.233/0001-00;30745834;3361138
09.814.243/0001-38;30745910;3334011
28.750.204/0001-69;30745941;3450806
31.031.027/0001-75;30745981;967296
08.799.310/0001-20;30746019;2196288
01.631.246/0001-24;30746029;1793706
09.343.597/0001-41;30746044;1581237
09.589.107/0001-91;30746106;3149656
07.892.305/0001-02;30746116;1405412
14.299.738/0001-06;30746186;3421839
30.998.271/0001-49;30746187;2575782
20.889.702/0001-85;30746197;2271822
02.376.687/0001-90;30746211;2093077
27.751.280/0001-26;30746238;2410995
31.007.993/0001-57;30746289;1612282
11.110.880/0001-75;30746293;2358453
07.400.601/0001-30;30746302;1101629
09.289.116/0001-67;30746314;3328868
06.036.873/0001-30;30746461;952955
12.607.277/0001-66;30746470;3316036
14.120.247/0001-56;30746475;1252597
28.849.683/0001-75;30746480;1970462
32.238.352/0001-76;30746585;640754
09.441.415/0001-75;30746591;740000
09.225.860/0001-06;30746595;1819191
07.967.454/0001-85;30746611;2183911
05.405.671/0001-56;30746615;1782481
18.644.647/0001-11;30746680;773102
18.715.625/0001-03;30746695;1294041
11.859.669/0001-50;30746719;753716
31.008.019/0001-08;30746723;1037452
09.431.740/0001-57;30746811;753509
18.033.470/0001-17;30746826;3029281
08.799.681/0001-01;30746862;3249138
09.352.825/0001-40;30746874;1860667
08.715.264/0001-33;30746920;3219105
02.710.116/0001-40;30746961;1582248
27.974.870/0001-18;30746967;980188
09.285.170/0001-34;30747003;790239
08.427.043/0001-60;30747063;1424978
09.087.618/0001-05;30747092;766697
08.944.426/0001-05;30747114;1439567
27.565.939/0001-50;30747142;1003815
15.059.006/0001-01;30747166;2230351
04.701.235/0001-61;30747185;519380
26.710.611/0001-17;30747216;827642
09.637.456/0001-31;30747271;1196553
15.807.818/0001-98;30747365;1767648
05.591.825/0001-41;30747370;1703432
03.515.391/0001-75;30747374;757399
19.941.589/0001-50;30747406;979757
09.260.362/0001-96;30747409;1699226
26.142.998/0001-52;30747416;2816251
02.710.116/0001-40;30747463;3209934
12.987.898/0001-12;30747471;2544655
15.019.737/0001-23;30747474;2220393
23.630.219/0001-70;30747494;609357
07.018.136/0001-78;30747582;3001350
18.000.255/0001-10;30747593;1457385
13.918.308/0001-62;30747601;2958520
08.277.719/0001-86;30747621;1452750
31.008.019/0001-08;30747637;2284902
04.812.197/0001-14;30747683;3399862
27.974.877/0001-30;30747769;2921311
05.587.660/0001-34;30747895;1467535
32.398.942/0001-66;30747911;1520422
09.591.879/0001-68;30747990;2725380
02.263.212/0001-97;30748002;1097370
13.079.614/0001-52;30748006;2145507
08.828.960/0001-56;30748069;1751432
12.636.498/0001-62;30748079;1574404
17.803.756/0001-71;30748094;2307093
08.820.315/0001-97;30748116;2507954
18.959.722/0001-33;30748126;953001
11.804.558/0001-46;30748140;836476
09.028.160/0001-13;30748249;1321036
07.400.643/0001-71;30748259;1791090
28.504.495/0001-05;30748275;1224818
11.490.583/0001-00;30748307;2166082
04.199.755/0001-18;30748360;1665832
04.520.065/0001-19;30748437;858415
26.605.617/0001-24;30748482;3136938
26.253.887/0001-13;30748559;760998
17.955.613/0001-85;30748595;2814100
08.744.343/0001-72;30748596;2597585
08.900.494/0001-72;30748619;1957654
08.532.611/0001-92;30748658;1632943
15.019.737/0001-23;30748688;2424572
09.241.810/0001-04;30748706;2815110
23.434.819/0001-62;30748749;2427863
08.815.882/0001-55;30748751;1287423
13.547.592/0001-08;30748781;2547022
05.756.720/0001-03;30748783;1856770
05.898.535/0001-45;30748840;1709949
26.101.775/0001-47;30748911;3433330
10.435.474/0001-10;30748916;752631
24.372.147/0001-70;30748950;2447029
08.900.379/0001-06;30749003;1316359
04.160.551/0001-73;30749087;1059228
31.008.046/0001-80;30749121;1120524
11.714.716/0001-77;30749129;871054
27.292.868/0001-69;30749188;1475857
04.903.737/0001-75;30749219;2823264
18.598.042/0001-31;30749242;1957111
04.345.810/0001-30;30749316;3403158
11.960.485/0001-81;30749457;3083217
15.611.347/0001-48;30749459;1401927
17.517.216/0001-21;30749476;2804116
23.960.625/0001-09;30749623;2364367
11.077.965/0001-07;30749625;918569
18.160.335/0001-32;30749650;2599880
17.071.274/0001-74;30749668;2700735
18.929.483/0001-79;30749671;3146386
18.000.151/0001-05;30749681;3032986
05.128.634/0001-48;30749699;1088951
17.709.820/0001-50;30749723;625141
11.083.775/0001-94;30749758;3018508
05.406.331/0001-40;30749790;3275486
31.008.046/0001-80;30749801;2037396
28.075.401/0001-20;30749804;2625925
06.371.067/0001-19;30749805;2683599
18.961.841/0001-20;30749889;2496436
28.280.933/0001-07;30749915;841008
04.870.391/0001-56;30749961;2682036
08.464.626/0001-60;30749976;1973588
04.199.755/0001-18;30750031;1677866
17.308.813/0001-46;30750099;1539846
28.206.161/0001-55;30750120;1415464
08.716.530/0001-42;30750148;1265457
26.143.039/0001-51;30750202;1337343
15.165.488/0001-84;30750203;2327149
30.593.375/0001-73;30750222;2697095
17.329.492/0001-66;30750258;2079107
04.443.440/0001-74;30750391;535570
13.316.068/0001-26;30750448;3295350
11.162.408/0001-86;30750456;2272972
08.151.091/0001-78;30750460;683042
04.688.976/0001-50;30750463;2785236
19.769.046/0001-06;30750517;994456
09.288.274/0001-00;30750579;1456632
24.874.522/0001-80;30750672;2391552
27.974.883/0001-97;30750723;1244348
23.379.346/0001-48;30750755;2079597
20.355.135/0001-87;30750800;707539
18.096.036/0001-86;30750803;3157130
22.380.316/0001-99;30750808;2307561
27.565.939/0001-50;30750810;1457412
09.411.684/0001-99;30750821;1859850
04.118.347/0001-94;30750824;2458234
71.739.445/0001-36;30750842;3018090
04.869.241/0001-22;30750844;959282
08.900.446/0001-84;30750868;1525865
10.343.217/0001-58;30750886;1510134
04.494.279/0001-68;30750917;1663595
08.760.870/0001-70;30750920;3110588
04.827.380/0001-93;30750928;1449906
09.720.828/0001-99;30750986;2646304
17.691.243/0001-16;30751021;673083
05.731.790/0001-07;30751161;2522359
02.668.201/0001-97;30751176;926104
18.525.673/0001-20;30751181;1487859
05.164.359/0001-18;30751230;1338223
26.179.574/0001-62;30751292;1146842
07.907.312/0001-22;30751328;2025157
18.693.578/0001-36;30751362;652379
10.475.484/0001-89;30751403;3463536
03.664.313/0001-32;30751406;923558
22.051.701/0001-92;30751443;2657036
27.565.939/0001-50;30751449;2990789
15.505.331/0001-50;30751486;2606360
15.781.118/0001-71;30751496;605805
08.087.383/0001-99;30751539;660901
22.809.128/0001-33;30751540;1525448
17.118.835/0001-43;30751545;1274464
30.353.771/0001-23;30751557;1863634
18.488.683/0001-33;30751662;1744784
08.828.988/0001-93;30751702;2962883
15.649.336/0001-57;30751788;2294856
10.789.912/0001-48;30751795;2147285
09.489.300/0001-50;30751840;1145782
25.423.301/0001-59;30751885;2991089
16.416.252/0001-36;30751901;2476098
05.510.759/0001-38;30751921;738359
24.413.703/0001-00;30751947;2201700
09.188.328/0001-58;30751955;1617336
32.319.298/0001-93;30751977;2101693
23.711.580/0001-20;30751993;1973776
17.757.995/0001-32;30752005;2366116
17.340.264/0001-97;30752018;1249677
09.637.461/0001-44;30752096;2245230
14.115.142/0001-09;30752105;1980906
32.239.565/0001-12;30752116;527261
24.986.142/0001-38;30752125;812495
05.090.574/0001-11;30752126;2415699
21.743.060/0001-74;30752137;506833
03.009.309/0001-30;30752140;1775233
24.247.636/0001-09;30752186;2647152
31.042.960/0001-48;30752194;3117335
23.781.736/0001-40;30752205;3465426
05.006.165/0001-94;30752206;2304566
08.740.279/0001-51;30752232;2963846
11.802.635/0001-29;30752243;837132
04.653.959/0001-87;30752268;2536178
24.752.725/0001-02;30752290;2889874
08.151.099/0001-34;30752301;2032979
05.937.523/0001-82;30752305;1662704
24.947.261/0001-81;30752310;561622
05.482.331/0001-29;30752324;2477681
24.976.673/0001-40;30752328;2822765
21.612.763/0001-63;30752383;2419351
18.692.788/0001-00;30752387;2096734
17.198.361/0001-97;30752401;2572259
09.577.031/0001-84;30752429;3307031
18.086.831/0001-93;30752462;1041466
09.289.050/0001-05;30752465;3012508
21.082.387/0001-42;30752500;2083663
09.028.106/0001-78;30752522;1907134
27.619.757/0001-14;30752532;1078839
10.475.211/0001-34;30752599;3293799
30.057.635/0001-96;30752604;2938614
15.019.737/0001-23;30752609;938569
20.139.534/0001-00;30752627;1283725
02.559.662/0001-21;30752657;3404275
29.196.699/0001-99;30752730;2915937
20.725.987/0001-19;30752762;3268711
01.261.720/0001-73;30752794;3116072
17.517.216/0001-21;30752808;3426024
05.104.341/0001-20;30752824;1033136
12.030.311/0001-82;30752848;514328
10.474.399/0001-04;30752856;1953016
12.590.467/0001-18;30752863;2378541
28.856.732/0001-05;30752927;2680781
05.307.497/0001-09;30752955;693466
07.996.493/0001-00;30752971;1121074
24.405.248/0001-09;30752994;2537021
13.107.002/0001-26;30753027;2832715
28.970.842/0001-95;30753073;2101820
24.193.695/0001-33;30753102;2306023
28.750.061/0001-95;30753223;2061390
01.094.797/0001-04;30753230;3177804
28.970.868/0001-33;30753249;2864285
31.008.074/0001-06;30753267;2542627
22.341.009/0001-07;30753288;1277683
15.212.116/0001-61;30753329;2052142
27.974.889/0001-64;30753348;3194585
28.036.872/0001-29;30753396;2233304
09.441.418/0001-09;30753409;843474
17.517.231/0001-70;30753434;864488
05.113.694/0001-97;30753442;2423354
31.016.236/0001-40;30753448;1338918
13.591.960/0001-15;30753467;1095524
21.596.678/0001-59;30753499;3324033
10.787.185/0001-80;30753537;1143173
23.999.587/0001-90;30753564;3119576
05.006.181/0001-87;30753597;2873610
07.400.536/0001-43;30753611;1050458
00.578.354/0001-18;30753647;753673
00.284.758/0001-07;30753657;2930624
10.347.453/0001-42;30753668;3151544
11.142.180/0001-62;30753714;3495051
13.503.963/0001-50;30753765;2290094
06.335.037/0001-57;30753782;2465984
10.474.394/0001-73;30753787;694760
31.020.036/0001-60;30753816;1664263
13.588.565/0001-83;30753819;2784739
10.277.930/0001-40;30753827;1798759
04.703.763/0001-50;30753828;1118372
12.297.837/0001-23;30753861;3149797
04.803.035/0001-10;30753873;626795
11.377.238/0001-57;30753878;1910537
11.306.044/0001-60;30753904;1022062
10.474.390/0001-95;30753955;2090076
12.610.637/0001-89;30753963;2220025
05.943.674/0001-43;30754027;1149998
12.698.584/0001-08;30754061;3232374
23.720.574/0001-30;30754063;958802
17.517.231/0001-70;30754070;731922
09.215.254/0001-00;30754125;1191566
09.125.159/0001-07;30754131;972255
18.281.596/0001-00;30754178;686345
02.143.194/0001-00;30754198;2607567
04.160.251/0001-94;30754205;2972847
09.411.684/0001-99;30754283;1417413
08.960.516/0001-90;30754299;1954351
21.596.006/0001-43;30754312;1155667
02.376.819/0001-83;30754318;3266690
06.373.046/0001-32;30754322;1678184
23.502.654/0001-19;30754325;3267999
15.118.002/0001-57;30754346;2698096
10.172.755/0001-27;30754350;2414648
06.127.862/0001-66;30754428;574095
09.321.520/0001-70;30754477;2773573
15.912.247/0001-51;30754478;746238
28.069.924/0001-63;30754571;1383155
09.215.287/0001-41;30754575;735577
08.541.520/0001-13;30754586;2814264
29.993.618/0001-81;30754590;1375626
31.008.100/0001-98;30754640;2162922
16.718.367/0001-85;30754670;2451533
27.500.652/0001-41;30754690;1934507
11.980.010/0001-57;30754857;2838286
04.637.772/0001-90;30754885;2311249
08.973.255/0001-42;30754904;523189
08.944.849/0001-25;30754911;2156953
09.411.697/0001-68;30754920;559877
05.458.913/0001-70;30754935;1422285
09.573.599/0001-27;30755154;610244
23.028.894/0001-23;30755162;838629
03.618.629/0001-98;30755186;565851
22.773.421/0001-98;30755224;1242073
04.150.703/0001-57;30755257;2214720
09.405.543/0001-63;30755275;2804085
12.283.284/0001-50;30755329;3091411
30.592.742/0001-14;30755360;578888
17.329.778/0001-41;30755370;3446529
29.044.084/0001-47;30755440;1755178
25.245.610/0001-86;30755492;2262178
25.246.355/0001-96;30755555;2408840
09.234.082/0001-03;30755559;2285099
21.024.134/0001-12;30755635;760973
09.150.710/0001-72;30755677;2370871
20.311.706/0001-81;30755707;2979331
06.951.564/0001-96;30755740;2036579
03.737.233/0001-60;30755774;1252708
24.752.725/0001-02;30755859;936792
23.379.074/0001-86;30755963;2555158
11.409.285/0001-35;30755964;3241647
10.536.437/0001-06;30755977;1634582
08.741.798/0001-34;30756030;1584090
13.008.338/0001-31;30756034;2725429
20.156.062/0001-02;30756085;2813196
12.776.259/0001-08;30756107;1716014
28.819.628/0001-32;30756114;3210211
28.856.743/0001-87;30756122;582957
14.950.845/0001-52;30756162;1261364
07.038.766/0001-04;30756182;2697842
26.794.612/0001-97;30756189;2077399
11.184.252/0001-34;30756208;1634869
10.843.458/0001-66;30756212;1988570
10.474.366/0001-56;30756238;1834541
30.338.831/0001-39;30756288;2639310
09.087.762/0001-41;30756309;1444796
05.006.159/0001-37;30756336;2170332
01.165.797/0001-40;30756370;3217720
31.008.130/0001-02;30756382;853598
22.899.334/0001-81;30756416;2821216
30.453.586/0001-00;30756442;1654770
04.714.886/0001-96;30756459;2953955
13.591.924/0001-51;30756500;2303286
09.352.802/0001-35;30756506;1778556
23.379.074/0001-86;30756522;951505
14.052.283/0001-20;30756543;1802791
29.852.634/0001-54;30756547;995048
03.549.138/0001-32;30756624;3340122
12.073.745/0001-60;30756650;1187347
06.100.375/0001-00;30756780;2886061
25.682.084/0001-11;30756792;2981038
24.623.475/0001-00;30756828;3276089
05.448.590/0001-33;30756846;1849018
13.823.001/0001-88;30756854;753205
29.232.937/0001-74;30756927;3087699
17.759.811/0001-73;30756960;2079895
05.701.756/0001-81;30757006;2261128
26.207.741/0001-31;30757091;3017042
07.658.630/0001-05;30757138;1590597
31.392.516/0001-52;30757198;2487142
19.238.053/0001-73;30757267;2094086
31.217.053/0001-92;30757278;2471297
15.542.289/0001-48;30757339;1810242
21.596.006/0001-43;30757359;2491097
03.082.627/0001-27;30757370;976921
15.441.465/0001-55;30757374;2905960
09.087.508/0001-43;30757397;766383
22.899.381/0001-25;30757414;1791286
17.517.310/0001-80;30757424;2762157
09.144.614/0001-11;30757464;2587453
26.262.593/0001-58;30757472;3422765
25.097.898/0001-99;30757507;3451357
33.435.749/0001-10;30757523;2425729
24.521.043/0001-80;30757534;614975
03.288.429/0001-14;30757568;2545566
08.613.276/0001-57;30757592;3175140
07.660.165/0001-39;30757643;2215899
15.781.003/0001-87;30757664;2051325
14.834.408/0001-73;30757710;3214078
11.160.800/0001-96;30757730;2679896
26.978.178/0001-03;30757766;1289312
11.357.263/0001-79;30757781;2136358
07.187.751/0001-08;30757803;2978442
05.530.024/0001-76;30757811;3204205
09.300.199/0001-48;30757911;1083603
23.915.603/0001-19;30758080;2017324
19.196.645/0001-70;30758101;917698
29.994.542/0001-09;30758110;755388
04.773.506/0001-94;30758125;2863530
05.627.979/0001-46;30758171;2182226
17.770.837/0001-12;30758180;2512263
11.863.144/0001-98;30758259;642822
04.703.699/0001-07;30758308;924855
29.549.577/0001-39;30758317;799396
05.091.417/0001-20;30758320;1120448
97.519.652/0001-79;30758347;2689974
03.406.192/0001-29;30758354;2813654
26.269.949/0001-85;30758381;2083926
09.489.368/0001-30;30758383;1521218
03.573.807/0001-01;30758389;2344939
07.914.895/0001-19;30758398;2130119
03.573.825/0001-93;30758437;3341293
28.036.862/0001-93;30758441;2395383
28.715.652/0001-21;30758455;739471
08.731.024/0001-22;30758548;1058758
09.127.959/0001-67;30758633;974006
02.125.990/0001-10;30758684;2080556
29.056.024/0001-44;30758711;2609429
25.079.571/0001-94;30758712;1295358
28.516.203/0001-54;30758719;3070270
09.273.654/0001-63;30758787;1240817
10.474.458/0001-36;30758841;3016092
01.656.835/0001-67;30758880;2717808
03.907.174/0001-20;30758916;3101654
30.521.624/0001-15;30758917;3045238
30.543.019/0001-45;30758938;3232322
19.782.227/0001-64;30759012;2183976
07.280.457/0001-46;30759034;1443979
12.987.737/0001-29;30759092;2351831
30.102.249/0001-79;30759100;2763204
05.315.944/0001-71;30759112;960443
08.621.501/0001-05;30759169;1096953
22.022.523/0001-71;30759204;2826771
13.000.852/0001-20;30759216;2527313
31.008.161/0001-55;30759230;1557867
21.956.705/0001-57;30759239;851416
30.797.343/0001-90;30759246;1999540
08.536.928/0001-05;30759266;2525020
15.452.799/0001-24;30759269;597961
12.440.852/0001-89;30759281;868983
00.836.263/0001-35;30759323;3454286
05.903.260/0001-90;30759329;2821812
08.927.387/0001-38;30759375;1096166
26.305.892/0001-22;30759398;2467977
09.300.201/0001-89;30759453;2820551
24.119.374/0001-99;30759459;1630767
22.918.578/0001-64;30759461;2767669
14.631.086/0001-65;30759506;3058369
09.145.291/0001-80;30759547;579147
17.517.310/0001-80;30759583;2036215
10.320.221/0001-09;30759591;2606208
25.681.190/0001-80;30759610;3136087
01.323.834/0001-09;30759735;2078496
19.436.806/0001-55;30759782;2951166
34.231.909/0001-72;30759821;1027418
19.293.300/0001-34;30759852;3119888
22.344.843/0001-48;30759942;852940
26.407.073/0001-96;30759974;1996328
14.438.229/0001-17;30760050;2033797
02.423.554/0001-27;30760066;581158
11.839.250/0001-36;30760113;913963
25.682.104/0001-54;30760154;1654060
09.485.252/0001-22;30760167;1503810
21.663.915/0001-57;30760174;1891876
27.292.915/0001-74;30760225;1004346
33.769.090/0001-39;30760226;1335736
27.251.009/0001-21;30760301;2601643
29.941.942/0001-56;30760307;2539019
11.702.003/0001-93;30760319;1542598
03.919.927/0001-18;30760348;3087997
68.169.457/0001-68;30760363;2830986
11.182.064/0001-77;30760381;2529107
23.225.888/0001-66;30760422;2757348
19.258.806/0001-02;30760456;3353820
22.985.070/0001-89;30760474;2276384
25.424.170/0001-24;30760489;1909175
10.394.829/0001-70;30760544;2753486
13.322.212/0001-37;30760553;2912751
14.504.322/0001-82;30760581;2405466
09.289.020/0001-07;30760693;2503333
23.502.724/0001-39;30760724;1607597
10.817.217/0001-42;30760727;1242183
31.247.274/0001-03;30760764;3327954
09.485.263/0001-02;30760767;850701
20.335.392/0001-57;30760770;2948287
29.232.924/0001-03;30760772;2562095
11.349.782/0001-95;30760911;1353723
15.487.354/0001-80;30760949;1745139
03.185.789/0001-90;30760979;631880
28.296.470/0001-63;30761015;2026343
13.021.710/0001-40;30761020;3046545
23.896.287/0001-85;30761045;1902338
28.516.168/0001-73;30761096;3183245
30.531.147/0001-79;30761155;878284
10.817.178/0001-83;30761174;1465469
33.520.988/0001-79;30761211;2926429
11.960.928/0001-34;30761244;3187085
08.917.503/0001-38;30761266;1571956
20.969.330/0001-05;30761313;2881285
20.997.974/0001-07;30761331;2569616
03.573.819/0001-36;30761338;549514
09.369.697/0001-47;30761374;2117691
31.533.411/0001-76;30761412;992292
08.401.027/0001-06;30761442;1534804
15.835.108/0001-71;30761479;1916379
08.767.024/0001-82;30761603;1734268
11.702.101/0001-20;30761642;1825218
22.014.279/0001-03;30761655;612952
30.982.709/0001-09;30761722;837399
07.400.627/0001-89;30761745;1905050
26.744.823/0001-15;30761749;2896538
34.231.887/0001-40;30761804;3459290
14.491.562/0001-90;30761826;1054073
09.433.403/0001-07;30761849;844127
17.408.533/0001-00;30761956;1415208
34.081.573/0001-09;30761986;577237
05.586.704/0001-01;30762018;2516445
07.522.221/0001-79;30762020;2390925
07.658.638/0001-63;30762028;2778953
11.145.476/0001-37;30762084;993418
18.289.988/0001-16;30762085;3452348
26.190.970/0001-90;30762182;891306
11.225.628/0001-01;30762232;2785310
16.569.953/0001-05;30762285;874880
29.158.793/0001-53;30762302;2042326
10.444.031/0001-95;30762339;1341178
30.378.490/0001-25;30762346;3251034
12.105.922/0001-42;30762397;806294
27.566.032/0001-05;30762412;2630894
14.508.643/0001-55;30762469;855191
15.350.679/0001-16;30762471;1468155
28.516.168/0001-73;30762539;937150
28.345.327/0001-14;30762540;2613139
22.690.592/0001-53;30762640;2247527
04.187.305/0001-05;30762653;1125629
07.836.157/0001-09;30762682;595846
12.904.731/0001-40;30762715;3295417
16.557.850/0001-25;30762725;547681
19.689.939/0001-33;30762726;3392521
04.773.522/0001-87;30762746;1564555
08.139.721/0001-99;30762749;2979948
15.487.379/0001-83;30762764;1623896
10.397.549/0001-15;30762810;1411358
31.008.187/0001-01;30762849;2205681
17.420.032/0001-49;30762874;3161889
31.247.655/0001-92;30762919;2554351
07.187.539/0001-40;30762962;3031487
05.092.281/0001-73;30762975;3190566
09.145.108/0001-47;30762985;1954628
09.489.388/0001-00;30763079;1300328
26.740.634/0001-74;30763228;2846560
02.832.969/0001-54;30763229;2441607
07.967.270/0001-15;30763262;2183943
17.200.263/0001-47;30763316;593055
09.573.872/0001-13;30763334;1741752
10.347.277/0001-49;30763391;1090766
32.666.303/0001-34;30763396;2413349
07.810.933/0001-93;30763452;2687513
07.670.174/0001-00;30763472;1924317
05.164.367/0001-64;30763478;2350925
18.168.465/0001-11;30763516;1643295
10.277.968/0001-13;30763523;2513102
08.900.475/0001-46;30763554;1277710
15.390.562/0001-66;30763572;2324812
10.444.037/0001-62;30763588;1521728
17.645.463/0001-03;30763661;3000743
33.770.627/0001-80;30763663;1420549
05.011.105/0001-60;30763670;616143
00.813.342/0001-20;30763685;2952928
29.033.443/0001-60;30763694;1914273
08.820.430/0001-61;30763781;3364386
10.489.180/0001-70;30763814;966780
17.490.853/0001-51;30763856;2804029
08.448.654/0001-94;30763874;2220232
08.169.352/0001-87;30763931;2073092
08.543.300/0001-29;30763938;1008322
08.868.449/0001-88;30763987;1446426
08.411.497/0001-42;30764028;1166018
08.070.860/0001-03;30764043;2017394
06.095.367/0001-12;30764134;1279125
32.138.635/0001-46;30764167;2158623
07.561.893/0001-93;30764197;801162
